model,run_index,created_at,done_reason,prompt_eval_count,prompt_eval_duration_seconds,prompt_tokens_per_second,eval_count,eval_duration_seconds,output_tokens_per_second,total_duration_seconds,load_duration_seconds,client_wall_seconds,wall_output_tokens_per_second,response_chars,thinking_chars,response_preview
llama3.2:3b,1,2026-05-09T16:02:36.716921408Z,length,63,0.1,630.272,256,25.26,10.134,25.752,0.177,25.753,9.94,1394,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
llama3.2:3b,2,2026-05-09T16:03:05.266063448Z,length,63,0.081,778.039,256,28.071,9.12,28.545,0.176,28.546,8.968,1394,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
llama3.2:3b,3,2026-05-09T16:03:28.62785988Z,length,63,0.112,563.318,256,22.847,11.205,23.36,0.167,23.362,10.958,1394,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer a promising approach to privacy-preserving AI assistants by reducing the
qwen2.5:7b,1,2026-05-09T16:04:40.494122376Z,length,67,0.174,384.568,256,49.222,5.201,49.835,0.155,49.842,5.136,1347,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for deploying AI assistants that p
qwen2.5:7b,2,2026-05-09T16:05:31.042896475Z,length,67,0.187,359.142,256,49.921,5.128,50.545,0.149,50.549,5.064,1347,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for deploying AI assistants that p
qwen2.5:7b,3,2026-05-09T16:06:24.258800593Z,length,67,0.173,386.75,256,52.604,4.867,53.212,0.146,53.216,4.811,1347,0,**Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants**\n\n**Introduction**\nLocal small language models (LLMs) offer a compelling solution for deploying AI assistants that p
deepseek-r1:7b,1,2026-05-09T16:07:40.434459295Z,length,41,0.241,170.093,256,51.475,4.973,52.183,0.15,52.186,4.906,0,1305,
deepseek-r1:7b,2,2026-05-09T16:08:35.35544161Z,length,41,0.182,225.809,256,54.262,4.718,54.918,0.152,54.921,4.661,0,1305,
deepseek-r1:7b,3,2026-05-09T16:09:25.625228982Z,length,41,0.199,206.305,256,49.596,5.162,50.267,0.147,50.27,5.093,0,1305,
smollm2:1.7b,1,2026-05-09T16:09:52.269105304Z,length,68,0.082,834.261,256,17.833,14.355,18.053,0.048,18.056,14.178,1356,0,"Local Small Language Models (SLMs) are beneficial for privacy-preserving AI assistants due to their advantages in terms of latency, memory usage, accuracy, and deployment simplicity.\n\n1. **Latency**: "
smollm2:1.7b,2,2026-05-09T16:10:10.871156377Z,length,68,0.08,849.574,256,18.371,13.935,18.6,0.052,18.602,13.762,1356,0,"Local Small Language Models (SLMs) are beneficial for privacy-preserving AI assistants due to their advantages in terms of latency, memory usage, accuracy, and deployment simplicity.\n\n1. **Latency**: "
smollm2:1.7b,3,2026-05-09T16:10:32.805713103Z,length,68,0.077,881.177,256,21.71,11.792,21.932,0.053,21.934,11.671,1356,0,"Local Small Language Models (SLMs) are beneficial for privacy-preserving AI assistants due to their advantages in terms of latency, memory usage, accuracy, and deployment simplicity.\n\n1. **Latency**: "
phi4-mini:3.8b,1,2026-05-09T16:11:13.748888933Z,length,41,0.098,417.857,256,27.771,9.218,28.409,0.183,28.414,9.01,1333,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer significant advantages when deployed as part of private AI ass
phi4-mini:3.8b,2,2026-05-09T16:11:55.668497679Z,length,41,0.111,368.87,256,41.246,6.207,41.915,0.203,41.92,6.107,1333,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer significant advantages when deployed as part of private AI ass
phi4-mini:3.8b,3,2026-05-09T16:12:25.977053555Z,length,41,0.129,318.469,256,29.614,8.645,30.304,0.195,30.309,8.446,1333,0,**Technical Note: Utility of Local Small Language Models in Privacy-Preserving AI Assistants**\n\nLocal small language models (LSLMs) offer significant advantages when deployed as part of private AI ass
gemma3:4b,1,2026-05-09T16:13:12.649266536Z,length,47,0.148,318.157,256,31.21,8.202,32.187,0.493,32.193,7.952,1228,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
gemma3:4b,2,2026-05-09T16:13:44.76449164Z,length,47,0.473,99.283,256,30.751,8.325,32.109,0.472,32.114,7.972,1228,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
gemma3:4b,3,2026-05-09T16:14:20.472422455Z,length,47,0.159,296.087,256,34.68,7.382,35.703,0.477,35.705,7.17,1228,0,"## Technical Note: Local Small Language Models for Privacy-Preserving AI Assistants\n\n**Date:** October 26, 2023\n**Subject:** Evaluating Local LLMs for Privacy-Focused Assistants\n\n**Introduction:** Tra"
